Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,ATP Rank,Log diff
324,Ivan Gakhov,28.3,1445.7,,401,1324.4,286,1426.9,354,1394.4,,1659.6,2023-05,,317.0,0.02
325,Denis Yevseyev,31.9,1444.4,,311,1401.8,299,1412.1,243,1455.8,,1565.7,2024-01,,257.0,0.23
326,Clement Tabur,25.1,1443.6,,359,1360.7,293,1419.7,361,1391.3,,1500.9,2023-08,,301.0,0.08
327,Giovanni Fonio,26.9,1441.4,,292,1416.4,319,1398.2,305,1420.7,,1566.9,2023-02,,331.0,-0.01
328,Illya Marchenko,37.3,1441.2,,287,1424.1,367,1355.6,304,1420.8,,1792.9,2010-02,,641.0,-0.67
329,Joao Lucas Reis Da Silva,25.0,1440.6,,342,1374.0,294,1418.4,306,1420.3,,1516.6,2022-10,,351.0,-0.06
330,Max Houkes,24.7,1439.7,,415,1310.6,280,1429.8,308,1419.9,,1481.3,2025-03,,249.0,0.28
331,Luka Mikrut,20.9,1438.1,,363,1355.5,300,1411.6,309,1419.0,,1544.9,2024-06,,281.0,0.16
332,Ryan Peniston,29.4,1437.4,,296,1413.7,368,1354.7,289,1431.5,,1723.2,2022-06,,310.0,0.07
333,Michael Geerts,30.2,1437.4,,304,1406.3,321,1394.8,416,1362.4,,1540.6,2023-03,,276.0,0.19
334,Filip Cristian Jianu,23.5,1437.4,,391,1330.5,285,1427.1,271,1439.5,,1578.5,2019-09,,226.0,0.39
335,Jie Cui,27.2,1436.1,,297,1412.0,439,1275.9,311,1418.0,,1470.5,2025-01,,298.0,0.12
336,Nicolas Kicker,32.6,1435.8,,314,1399.5,278,1431.4,408,1367.4,,1706.2,2018-05,,454.0,-0.3
337,Nerman Fatic,30.4,1435.8,,316,1398.6,291,1420.0,275,1436.2,,1584.4,2023-07,,348.0,-0.03
338,Jakub Nicod,20.1,1434.2,,410,1318.2,287,1426.2,313,1417.1,,1506.7,2024-09,,560.0,-0.5
339,Viktor Durasovic,28.0,1433.4,,289,1421.5,392,1333.2,377,1382.3,,1494.2,2025-02,,246.0,0.32
340,Adrian Andreev,23.8,1432.0,,327,1387.6,282,1427.5,431,1356.0,,1642.9,2023-01,,283.0,0.18
341,Francesco Maestrelli,22.3,1431.7,,307,1404.2,322,1393.9,398,1371.1,,1711.4,2022-07,,303.0,0.12
342,Nick Hardt,24.5,1430.7,,308,1403.0,302,1409.2,314,1417.1,,1619.6,2024-05,,462.0,-0.3
343,Franco Agamenone,31.9,1428.8,,389,1334.1,292,1419.8,449,1343.4,,1707.6,2021-10,,437.0,-0.24
344,Arthur Gea,20.2,1428.0,,340,1375.3,305,1407.5,318,1414.0,,1501.7,2025-02,,296.0,0.15
