Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
30‑Aug‑2021,US Open,Hard,R128,145,1,(1)Novak Djokovic[SRB]d.(Q)Rune,6-1 6-7(5) 6-2 6-1,,0.63,1.1%,4.3%,52.7%,61.2%,50.0%,6/14,2:15,41.6%,27.8%,17.5%,14.5%,51.4%,2/3,190,1,4,93,49,44,17
30‑Aug‑2021,US Open,Hard,Q3,145,242,(24)Runed.Mats Moraing[GER],6-4 3-6 6-3,,1.04,16.5%,4.7%,68.2%,75.9%,51.9%,3/4,1:57,50.3%,33.0%,8.0%,20.9%,44.4%,2/5,173,14,4,85,58,27,7
30‑Aug‑2021,US Open,Hard,Q2,145,175,(24)Runed.Mitchell Krueger[USA],6-4 6-1,,2.01,9.1%,0.0%,70.5%,80.6%,69.2%,0/0,1:13,59.4%,45.6%,3.5%,41.7%,52.4%,4/12,101,4,0,44,31,13,2
30‑Aug‑2021,US Open,Hard,Q1,145,197,(24)Runed.Lukas Lacko[SVK],6-4 6-4,,1.11,11.3%,8.5%,62.0%,77.3%,59.3%,5/5,1:21,54.5%,32.7%,11.5%,23.7%,57.1%,2/5,123,8,6,71,44,27,6
16‑Aug‑2021,Verona CH,Clay,F,162,302,(4)Runed.Nino Serdarusic[CRO],6-4 6-2,,1.30,7.2%,4.3%,63.8%,77.3%,48.0%,6/6,1:36,55.8%,43.3%,6.7%,33.3%,61.9%,3/7,129,5,3,69,44,25,4
16‑Aug‑2021,Verona CH,Clay,SF,162,110,(4)Runed.(1)Carlos Taberner[ESP],6-2 6-1,,2.09,6.4%,2.1%,55.3%,84.6%,57.1%,4/5,1:17,65.2%,57.8%,0.0%,48.3%,75.0%,5/12,92,3,1,47,26,21,0
16‑Aug‑2021,Verona CH,Clay,QF,162,267,(4)Runed.Riccardo Bonadio[ITA],6-3 6-2,,1.68,1.9%,5.8%,73.1%,73.7%,57.1%,0/1,1:22,59.5%,51.6%,1.6%,48.7%,56.0%,4/10,116,1,3,52,38,14,1
16‑Aug‑2021,Verona CH,Clay,R16,162,342,(4)Runed.(Q)Matheus Pucinelli De Almeida[BRA],6-2 6-3,,1.56,2.9%,7.1%,54.3%,71.1%,56.3%,8/9,1:39,60.9%,55.6%,4.4%,51.6%,64.3%,4/5,115,2,5,70,38,32,2
16‑Aug‑2021,Verona CH,Clay,R32,162,347,(4)Runed.(Q)Matija Pecotic[CRO],6-2 7-6(3),,1.81,6.8%,1.7%,72.9%,86.0%,56.3%,2/2,1:38,55.1%,39.8%,3.4%,33.9%,50.0%,2/9,147,4,1,59,43,16,3
9‑Aug‑2021,San Marino CH,Clay,F,191,311,Runed.(Q)Orlando Luz[BRA],1-6 6-2 6-3,,1.36,3.2%,9.5%,55.6%,77.1%,57.1%,2/5,1:48,54.2%,43.2%,1.2%,36.6%,50.0%,4/7,144,2,6,63,35,28,1
9‑Aug‑2021,San Marino CH,Clay,SF,191,86,Runed.(1)Marco Cecchinato[ITA],7-5 7-6(4),,1.13,1.3%,0.0%,61.8%,61.7%,62.1%,4/7,1:58,52.2%,43.2%,3.7%,37.8%,50.0%,4/8,157,1,0,76,47,29,3
9‑Aug‑2021,San Marino CH,Clay,QF,191,233,Runed.Joao Menezes[BRA],6-0 7-5,,2.00,4.4%,4.4%,48.9%,81.8%,60.9%,1/3,1:21,63.7%,57.9%,5.3%,53.8%,66.7%,6/10,102,2,2,45,22,23,3
