Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 US Open R16,W vsArnaldi,72% (13/18),42% (5/12),3/5,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2023 US Open R32,W vsEvans,70% (16/23),35% (6/17),3/9,1/1,71% (5/7),4/5,0/0,- (0/0),- (0/0)
2023 US Open R64,W vsHarris,72% (13/18),50% (5/10),3/4,1/1,90% (9/10),0/0,0/0,67% (4/6),60% (3/5)
2023 Cincinnati F,L vsDjokovic,75% (15/20),40% (4/10),1/2,0/1,81% (13/16),5/7,4/5,69% (9/13),14% (2/14)
2023 Cincinnati SF,W vsHurkacz,60% (9/15),35% (6/17),2/2,1/1,60% (6/10),0/1,0/0,83% (5/6),40% (2/5)
2023 Cincinnati QF,W vsPurcell,62% (13/21),33% (3/9),2/2,1/1,33% (1/3),1/2,0/0,- (0/0),- (0/0)
2023 Canada QF,L vsPaul,56% (10/18),40% (2/5),1/2,0/0,60% (6/10),2/4,1/2,- (0/0),- (0/0)
2023 Canada R16,W vsHurkacz,71% (12/17),30% (3/10),2/6,1/5,20% (1/5),0/1,0/0,100% (10/10),44% (4/9)
2023 Wimbledon F,W vsDjokovic,63% (17/27),26% (5/19),3/4,1/1,67% (10/15),2/4,0/0,86% (6/7),29% (2/7)
2023 Wimbledon SF,W vsMedvedev,80% (12/15),43% (6/14),3/5,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2023 Wimbledon QF,W vsRune,67% (16/24),67% (2/3),3/7,1/4,100% (1/1),0/0,0/0,80% (4/5),60% (3/5)
2023 Wimbledon R16,W vsBerrettini,61% (17/28),25% (4/16),3/10,1/4,67% (2/3),1/2,0/0,- (0/0),- (0/0)
2023 Wimbledon R32,W vsJarry,57% (20/35),36% (5/14),3/8,1/1,71% (5/7),0/1,0/0,86% (6/7),0% (0/7)
2023 Wimbledon R64,W vsMuller,76% (16/21),14% (2/14),3/9,1/2,100% (6/6),0/0,0/0,75% (3/4),80% (4/5)
2023 Wimbledon R128,W vsChardy,67% (12/18),50% (7/14),3/3,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2023 Queen's Club F,W vsDe Minaur,59% (10/17),100% (2/2),2/3,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2023 Queen's Club SF,W vsKorda,75% (9/12),33% (3/9),2/3,1/2,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2023 Queen's Club R32,W vsRinderknech,74% (14/19),27% (3/11),2/6,1/3,25% (1/4),1/2,0/0,80% (4/5),60% (3/5)
2023 Roland Garros SF,L vsDjokovic,67% (10/15),17% (2/12),1/4,0/0,42% (5/12),4/7,1/2,- (0/0),- (0/0)
2023 Roland Garros QF,W vsTsitsipas,71% (12/17),50% (6/12),3/10,1/6,50% (1/2),0/0,0/0,100% (6/6),17% (1/6)
2023 Roland Garros R16,W vsMusetti,79% (11/14),50% (7/14),3/3,1/1,71% (5/7),0/0,0/0,- (0/0),- (0/0)
2023 Roland Garros R32,W vsShapovalov,55% (11/20),47% (7/15),3/6,1/2,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2023 Roland Garros R128,W vsCobolli,71% (12/17),39% (7/18),3/7,1/5,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2023 Rome R32,L vsMarozsan,67% (8/12),50% (1/2),0/0,0/0,71% (5/7),0/2,0/1,60% (3/5),17% (1/6)
2023 Rome R64,W vsRamos,89% (8/9),33% (4/12),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2023 Madrid F,W vsStruff,63% (12/19),27% (3/11),2/2,1/1,75% (6/8),0/1,0/0,- (0/0),- (0/0)
2023 Madrid SF,W vsCoric,53% (8/15),67% (4/6),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2023 Madrid QF,W vsKhachanov,77% (10/13),50% (3/6),2/4,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2023 Madrid R64,W vsRuusuvuori,50% (11/22),60% (3/5),2/3,1/2,82% (9/11),3/4,0/0,- (0/0),- (0/0)
2023 Barcelona F,W vsTsitsipas,82% (9/11),50% (3/6),2/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2023 Barcelona SF,W vsEvans,70% (7/10),71% (5/7),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2023 Miami SF,L vsSinner,41% (9/22),25% (3/12),1/2,0/0,50% (6/12),0/2,0/1,83% (5/6),40% (2/5)
2023 Miami QF,W vsFritz,64% (9/14),60% (3/5),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2023 Miami R16,W vsPaul,77% (10/13),33% (2/6),2/4,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2023 Miami R32,W vsLajovic,62% (8/13),80% (4/5),2/7,1/4,67% (2/3),0/0,0/0,50% (3/6),67% (4/6)
2023 Indian Wells F,W vsMedvedev,69% (9/13),100% (3/3),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2023 Indian Wells SF,W vsSinner,71% (10/14),33% (2/6),2/3,1/2,50% (1/2),1/1,0/0,83% (5/6),40% (2/5)
2023 Indian Wells QF,W vsAuger Aliassime,82% (9/11),25% (3/12),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2023 Indian Wells R32,W vsGriekspoor,65% (11/17),25% (1/4),2/4,1/2,100% (2/2),0/0,0/0,67% (4/6),60% (3/5)
2023 Indian Wells R64,W vsKokkinakis,82% (9/11),33% (3/9),2/4,1/3,- (0/0),0/0,0/0,- (0/0),- (0/0)
2023 Rio De Janeiro F,L vsNorrie,65% (11/17),56% (5/9),1/2,0/0,63% (10/16),1/3,1/2,- (0/0),- (0/0)
2023 Rio De Janeiro SF,W vsJarry,67% (14/21),83% (5/6),2/2,1/1,80% (4/5),0/1,0/0,25% (1/4),20% (1/5)
