Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
46,Luciano Darderi,5,40.0,63.7,63.2,8.8,4.3,10.5,58.9,74.7,48.0,53.7,81.3,6.8,32.5,32.5,9.9,4.7,25.4,47.1,6.2,48.0,68.4,30.6,49,0.53,2.9,9.8,0.88,3.0,70.2,0.63,3.4,11.4,1.0,3.4,48.7,66.7,47.1
47,Miomir Kecmanovic,8,50.0,68.1,67.5,6.5,2.3,6.0,62.6,76.1,54.7,58.2,84.8,6.3,34.0,34.7,9.4,4.0,26.3,48.4,6.4,30.0,40.8,35.8,53,0.47,2.3,6.6,0.83,2.4,60.5,0.38,1.9,5.4,0.74,2.1,50.9,37.5,47.8
48,David Goffin,2,0.0,54.2,53.1,7.1,4.2,10.3,59.2,63.1,41.2,46.0,60.0,6.8,43.8,42.9,2.8,3.6,40.4,49.5,6.9,56.0,56.0,48.0,25,0.69,3.6,12.5,1.71,6.0,57.6,0.94,4.7,16.5,2.0,7.0,48.9,0.0,28.6
49,Pedro Martinez,3,0.0,55.1,60.1,2.9,10.2,32.9,69.0,63.3,36.8,54.9,63.2,6.4,32.8,36.6,14.2,2.2,21.7,48.9,5.9,37.0,31.3,27.8,18,0.46,2.3,6.0,0.63,1.7,54.8,0.82,3.9,10.3,1.75,4.7,44.2,-,12.5
50,Zizou Bergs,3,33.3,69.0,69.2,5.0,2.5,7.3,65.8,77.8,52.1,56.2,85.1,6.0,33.0,33.0,9.6,4.8,21.7,48.5,6.6,53.5,53.5,31.3,16,0.34,1.8,5.3,0.56,1.7,68.2,0.47,2.4,7.3,0.78,2.3,50.1,66.7,44.4
51,Tomas Martin Etcheverry,4,25.0,70.3,69.3,9.2,2.7,8.7,69.1,77.5,54.3,59.5,89.7,6.0,32.0,33.5,11.3,3.4,24.5,48.0,5.9,89.5,97.0,40.0,25,0.38,1.8,6.3,0.71,2.5,66.7,0.31,1.5,5.3,0.5,1.8,51.7,0.0,50.0
52,Quentin Halys,3,66.7,74.0,70.5,20.0,3.4,9.3,63.1,86.9,51.9,57.3,91.9,5.6,32.3,33.1,9.8,3.7,27.3,41.6,5.8,22.0,33.0,47.4,19,0.31,1.5,6.3,0.69,3.0,75.0,0.32,1.5,6.7,0.38,1.7,53.0,50.0,61.5
53,Nicolas Jarry,1,0.0,59.3,58.9,6.2,3.7,9.1,59.3,66.7,48.5,53.3,71.4,5.8,19.8,18.8,11.1,3.7,17.3,24.1,5.4,121.0,121.0,0.0,2,0.13,0.7,2.0,0.0,0.0,60.0,0.71,3.3,10.0,1.33,4.0,39.5,-,0.0
54,Gabriel Diallo,1,0.0,60.2,61.2,7.1,6.1,13.0,53.1,69.2,50.0,57.5,83.3,8.2,33.7,33.7,4.5,2.2,30.4,39.4,7.4,116.0,116.0,12.5,8,0.67,4.0,8.0,0.5,1.0,75.0,0.67,4.0,8.0,1.0,2.0,47.6,0.0,0.0
55,Zhizhen Zhang,8,50.0,68.1,64.9,13.8,2.5,7.4,65.6,76.8,51.5,55.6,89.4,6.4,31.4,33.6,13.6,3.6,24.2,43.6,6.4,48.0,60.8,34.9,43,0.35,1.9,5.4,0.65,1.9,59.4,0.26,1.4,4.0,0.57,1.6,49.8,30.0,47.8
