Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 Australian Open R64,W vsMensik,43% (10/23),70% (7/10),0/1,8% (2/24),0% (0/2),5/6,2/2,3/4,1/1,0/0
2024 Australian Open R128,W vsJasika,20% (3/15),100% (3/3),0/0,7% (1/15),100% (1/1),3/3,2/2,0/0,1/1,0/0
2024 United Cup F,L vsZverev,0% (0/17),- (0/0),0/1,24% (4/17),75% (3/4),0/0,0/0,3/3,0/0,1/1
2024 United Cup SF,W vsMannarino,40% (4/10),50% (2/4),0/0,0% (0/11),- (0/0),2/2,2/2,1/1,1/1,0/0
2024 United Cup QF,W vsZhang,33% (3/9),67% (2/3),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2024 United Cup RR,L vsDavidovich Fokina,21% (3/14),67% (2/3),1/3,36% (5/14),40% (2/5),2/2,1/1,2/2,0/0,1/1
2024 United Cup RR,W vsSeyboth Wild,53% (8/15),63% (5/8),0/1,7% (1/14),0% (0/1),3/4,1/1,0/0,0/0,0/0
2023 Tour Finals RR,L vsDjokovic,7% (1/15),100% (1/1),0/2,21% (3/14),33% (1/3),1/1,1/1,0/0,0/0,0/0
2023 Paris QF,L vsDimitrov,14% (2/14),50% (1/2),0/3,23% (3/13),0% (0/3),0/0,0/0,1/1,0/0,1/1
2023 Paris R16,W vsCerundolo,50% (5/10),100% (5/5),2/2,22% (2/9),0% (0/2),4/4,1/1,0/0,0/0,0/0
2023 Paris R32,W vsBautista Agut,38% (3/8),100% (3/3),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2023 Paris R64,W vsKorda,29% (4/14),75% (3/4),0/1,6% (1/16),0% (0/1),3/3,2/3,1/1,1/2,0/0
2023 Basel F,L vsAuger Aliassime,0% (0/12),- (0/0),0/0,25% (3/12),100% (3/3),0/0,0/0,2/2,0/0,0/0
2023 Basel SF,W vsHumbert,38% (6/16),33% (2/6),0/2,20% (3/15),33% (1/3),1/2,1/2,1/1,0/1,0/0
2023 Basel QF,W vsGriekspoor,31% (5/16),40% (2/5),0/0,6% (1/16),100% (1/1),2/2,2/2,0/0,1/1,0/0
2023 Basel R16,W vsStruff,63% (5/8),80% (4/5),1/1,11% (1/9),0% (0/1),3/4,2/2,0/0,1/1,0/0
2023 Basel R32,W vsLajovic,27% (3/11),100% (3/3),0/1,30% (3/10),67% (2/3),2/2,0/0,0/0,0/0,0/0
2023 Tokyo R32,L vsZhang,27% (4/15),75% (3/4),0/2,25% (4/16),25% (1/4),3/3,1/1,2/3,0/0,2/2
2023 Shanghai F,W vsRublev,13% (2/15),50% (1/2),0/1,13% (2/15),50% (1/2),1/1,1/1,1/1,0/0,0/0
2023 Shanghai SF,W vsKorda,22% (2/9),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2023 Shanghai QF,W vsMarozsan,54% (7/13),71% (5/7),0/2,23% (3/13),33% (1/3),3/4,1/1,0/0,0/0,0/0
2023 Shanghai R16,W vsZhang,24% (4/17),50% (2/4),1/2,18% (3/17),0% (0/3),1/2,0/0,2/3,0/0,2/2
2023 Shanghai R32,W vsHsu,30% (3/10),67% (2/3),0/0,30% (3/10),100% (3/3),2/2,2/2,0/0,1/1,0/0
2023 Shanghai R64,W vsKokkinakis,9% (1/11),100% (1/1),0/0,9% (1/11),100% (1/1),1/1,1/1,0/0,1/1,0/0
2023 US Open R64,L vsDraper,20% (3/15),33% (1/3),0/5,60% (9/15),44% (4/9),1/1,0/0,3/3,0/0,0/0
2023 US Open R128,W vsHuesler,40% (10/25),60% (6/10),2/4,16% (4/25),0% (0/4),5/5,1/1,1/1,1/1,0/0
2023 Cincinnati SF,L vsAlcaraz,33% (6/18),67% (4/6),2/3,47% (9/19),33% (3/9),1/3,0/0,2/2,0/0,1/1
2023 Cincinnati QF,W vsPopyrin,22% (2/9),100% (2/2),0/0,0% (0/10),- (0/0),2/2,1/1,2/2,0/0,0/0
2023 Cincinnati R16,W vsTsitsipas,22% (2/9),100% (2/2),0/0,20% (2/10),100% (2/2),2/2,2/2,0/0,1/1,0/0
2023 Cincinnati R32,W vsCoric,40% (6/15),67% (4/6),0/2,27% (4/15),50% (2/4),3/3,1/2,0/0,0/0,0/0
2023 Cincinnati R64,W vsKokkinakis,35% (6/17),0% (0/6),0/1,31% (5/16),80% (4/5),0/0,0/0,1/1,0/0,0/0
2023 Canada R16,L vsAlcaraz,25% (4/16),100% (4/4),1/3,29% (5/17),40% (2/5),3/4,1/1,3/3,0/0,1/1
2023 Canada R32,W vsKecmanovic,38% (5/13),80% (4/5),0/1,21% (3/14),67% (2/3),4/4,2/2,0/0,1/1,0/0
