Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2021 US Open R16,W vsSinner,31% (5/16),60% (3/5),0/1,25% (4/16),75% (3/4),3/3,2/2,2/2,0/0,0/0
2021 US Open R64,W vsRamos,64% (7/11),100% (7/7),0/0,0% (0/11),- (0/0),5/5,1/1,0/0,1/1,0/0
2021 US Open R128,W vsQuerrey,40% (6/15),67% (4/6),0/0,0% (0/15),- (0/0),4/4,3/3,1/1,1/1,0/0
2021 Cincinnati F,W vsRublev,56% (5/9),100% (5/5),1/1,13% (1/8),0% (0/1),4/4,1/2,0/0,0/1,0/0
2021 Cincinnati SF,W vsTsitsipas,25% (4/16),100% (4/4),1/4,40% (6/15),33% (2/6),4/4,1/1,2/2,0/0,1/1
2021 Cincinnati QF,W vsRuud,63% (5/8),100% (5/5),0/1,13% (1/8),0% (0/1),4/4,1/1,0/0,1/1,0/0
2021 Tokyo Olympics F,W vsKhachanov,50% (4/8),100% (4/4),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,1/1,0/0
2021 Tokyo Olympics SF,W vsDjokovic,58% (7/12),71% (5/7),1/3,36% (4/11),25% (1/4),4/4,1/1,0/0,0/0,0/0
2021 Tokyo Olympics QF,W vsChardy,56% (5/9),80% (4/5),0/0,0% (0/8),- (0/0),3/3,1/1,0/0,0/0,0/0
2021 Wimbledon R16,L vsAuger Aliassime,32% (8/25),75% (6/8),0/4,32% (8/25),38% (3/8),5/5,1/1,3/4,0/0,1/1
2021 Wimbledon R32,W vsFritz,29% (6/21),50% (3/6),0/1,5% (1/22),0% (0/1),1/2,1/1,4/4,0/0,0/0
2021 Wimbledon R64,W vsSandgren,40% (6/15),83% (5/6),0/0,7% (1/14),100% (1/1),4/4,2/2,1/1,0/0,0/0
2021 Wimbledon R128,W vsGriekspoor,54% (7/13),100% (7/7),0/2,23% (3/13),33% (1/3),4/6,2/3,0/0,0/0,0/0
2021 Roland Garros SF,L vsTsitsipas,17% (4/24),75% (3/4),0/4,30% (7/23),29% (2/7),3/3,2/2,2/3,0/0,1/1
2021 Roland Garros QF,W vsDavidovich Fokina,83% (10/12),90% (9/10),3/3,25% (3/12),0% (0/3),6/7,1/2,0/0,0/0,0/0
2021 Roland Garros R16,W vsNishikori,67% (8/12),100% (8/8),1/2,25% (3/12),33% (1/3),5/6,1/1,0/0,0/0,0/0
2021 Roland Garros R32,W vsDjere,57% (8/14),88% (7/8),0/2,21% (3/14),33% (1/3),6/7,3/3,2/2,1/1,0/0
2021 Roland Garros R64,W vsSafiullin,38% (6/16),67% (4/6),0/2,24% (4/17),25% (1/4),3/4,1/2,3/3,0/0,0/0
2021 Madrid F,W vsBerrettini,38% (6/16),67% (4/6),1/1,13% (2/15),50% (1/2),3/3,1/1,0/0,0/0,0/0
2021 Madrid SF,W vsThiem,56% (5/9),60% (3/5),0/1,20% (2/10),50% (1/2),2/3,2/2,0/0,1/1,0/0
2021 Madrid QF,W vsNadal,50% (5/10),60% (3/5),1/1,20% (2/10),50% (1/2),3/3,2/2,0/0,1/1,0/0
2021 Munich QF,L vsIvashka,24% (4/17),75% (3/4),0/4,38% (6/16),17% (1/6),1/3,0/1,1/2,0/1,0/0
2021 Acapulco F,W vsTsitsipas,45% (5/11),60% (3/5),0/2,45% (5/11),60% (3/5),2/3,1/2,1/1,0/1,0/0
2021 Rotterdam R32,L vsBublik,27% (3/11),67% (2/3),0/3,40% (4/10),0% (0/4),2/2,0/0,1/2,0/0,0/0
2021 Australian Open QF,L vsDjokovic,38% (8/21),38% (3/8),0/6,38% (8/21),25% (2/8),3/3,0/1,2/2,0/0,0/0
2021 Australian Open R16,W vsLajovic,47% (7/15),57% (4/7),1/1,19% (3/16),33% (1/3),3/4,2/3,1/1,1/1,0/0
2021 Australian Open R32,W vsMannarino,50% (6/12),83% (5/6),0/0,15% (2/13),100% (2/2),4/4,2/2,0/0,1/1,0/0
2021 Australian Open R64,W vsCressy,31% (5/16),80% (4/5),0/0,13% (2/15),100% (2/2),3/3,2/2,1/1,0/0,0/0
2021 Australian Open R128,W vsGiron,38% (8/21),75% (6/8),0/2,10% (2/20),0% (0/2),4/4,0/1,2/2,0/0,0/0
2021 Atp Cup SF,L vsMedvedev,40% (6/15),33% (2/6),0/3,33% (5/15),40% (2/5),1/2,1/1,0/0,0/0,0/0
2020 Tour Finals RR,L vsMedvedev,20% (2/10),50% (1/2),0/3,44% (4/9),25% (1/4),0/1,0/0,2/2,0/0,1/1
2020 Paris F,L vsMedvedev,14% (2/14),50% (1/2),0/3,33% (5/15),20% (1/5),0/0,0/0,0/1,0/0,0/1
