Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
66,Jaume Munar,7,42.9,60.3,61.3,4.7,4.7,14.0,66.4,65.9,49.2,57.2,72.1,6.7,44.0,43.9,4.6,3.7,35.4,57.2,6.6,71.0,76.9,42.3,78,0.91,4.1,11.1,1.74,4.7,64.7,0.79,3.6,9.7,1.26,3.4,52.2,0.0,52.6
67,Juncheng Shang,3,66.7,64.8,65.5,3.2,2.8,8.2,66.4,69.6,55.3,60.3,82.9,7.2,35.6,38.2,9.1,1.5,29.3,46.5,7.6,88.0,65.7,27.3,22,0.61,3.1,7.3,0.86,2.0,70.0,0.57,2.9,6.7,0.86,2.0,49.6,66.7,57.1
68,Mattia Bellucci,3,33.3,67.3,65.4,10.9,2.9,7.4,61.2,74.9,55.4,59.8,85.4,6.5,29.2,31.7,13.2,2.4,23.1,42.7,6.0,20.0,22.0,15.0,20,0.42,2.0,6.7,0.3,1.0,75.9,0.6,2.9,9.7,0.7,2.3,49.0,100.0,40.0
69,Damir Dzumhur,1,0.0,55.2,58.5,1.7,6.9,16.0,56.9,66.7,40.0,47.6,63.6,5.3,31.6,30.0,7.0,5.3,20.0,40.6,5.2,114.0,114.0,100.0,2,0.18,1.0,2.0,1.0,2.0,0.0,0.36,2.0,4.0,2.0,4.0,43.5,-,0.0
71,Daniel Altmaier,3,0.0,62.4,62.5,4.3,2.8,7.0,60.6,68.2,53.5,57.5,75.0,6.3,34.9,31.3,3.8,6.9,27.3,43.8,6.2,91.0,99.7,56.3,16,0.31,1.6,5.3,0.9,3.0,50.0,0.5,2.6,8.7,1.3,4.3,48.8,50.0,30.0
72,Hamad Medjedovic,2,50.0,70.6,70.0,6.1,1.8,7.7,76.1,74.2,59.0,63.9,92.6,6.0,28.8,31.5,15.7,3.3,21.6,38.5,5.9,152.0,152.0,20.0,5,0.19,1.0,2.5,0.2,0.5,0.0,0.07,0.4,1.0,0.4,1.0,50.3,50.0,40.0
73,Bu Yunchaokete,3,100.0,70.5,67.6,11.9,1.4,3.6,60.0,74.6,64.3,66.7,86.5,5.7,40.0,42.0,7.7,2.1,34.5,47.9,6.5,55.0,62.0,40.7,27,0.75,3.9,9.0,1.57,3.7,58.3,0.32,1.7,4.0,0.71,1.7,54.4,50.0,85.7
74,Yoshihito Nishioka,4,75.0,66.2,66.1,2.1,0.9,2.3,62.4,69.2,61.4,62.8,80.5,5.7,40.1,41.9,13.0,6.2,26.6,59.7,7.0,105.0,92.4,40.0,25,0.6,2.8,6.3,1.11,2.5,46.7,0.37,1.7,3.8,0.89,2.0,51.7,100.0,66.7
75,Arthur Rinderknech,7,57.1,64.9,61.5,14.0,3.2,8.2,60.7,72.9,52.6,57.2,78.5,6.3,32.0,31.8,4.2,2.3,26.3,39.9,5.9,73.0,70.9,37.1,35,0.43,2.1,5.0,0.76,1.9,61.4,0.56,2.6,6.3,1.0,2.4,48.8,50.0,41.2
76,Alexander Bublik,8,37.5,64.9,65.5,12.9,7.7,18.8,58.9,78.8,44.9,55.4,81.0,6.6,31.7,33.1,9.4,2.6,26.3,40.8,6.3,64.5,65.5,36.8,38,0.37,1.8,4.8,0.67,1.8,63.6,0.52,2.6,6.9,0.95,2.5,48.8,40.0,38.1
