Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
61,Fabian Marozsan,13,38.5,60.6,60.8,3.7,2.7,7.2,63.3,67.1,49.4,53.2,71.5,6.3,37.0,37.1,5.8,3.3,29.0,50.6,6.3,53.0,51.3,38.7,75,0.52,2.4,5.8,0.94,2.2,48.8,0.56,2.6,6.2,1.32,3.2,48.9,66.7,41.9
62,Kei Nishikori,3,33.3,51.9,52.6,0.3,1.7,6.5,73.6,52.1,51.1,54.7,71.1,7.8,39.8,41.3,8.3,3.4,34.4,55.4,7.0,27.0,69.3,28.0,25,0.54,2.8,8.3,0.78,2.3,48.0,0.56,2.8,8.3,1.44,4.3,46.1,50.0,33.3
63,Francisco Comesana,4,0.0,57.0,56.9,4.2,3.0,8.2,63.0,63.5,45.9,50.0,60.5,6.2,35.4,34.9,3.8,2.8,32.3,41.2,6.5,71.0,70.8,33.3,24,0.55,2.4,6.0,0.8,2.0,46.9,0.74,3.2,8.0,1.7,4.3,45.8,0.0,20.0
64,Laslo Djere,12,33.3,62.8,62.4,4.6,2.2,6.0,63.3,69.4,51.3,54.6,77.9,6.5,36.5,36.3,4.2,2.7,29.8,49.2,6.4,88.0,201.4,42.9,70,0.5,2.4,5.8,1.03,2.5,60.8,0.56,2.7,6.6,1.07,2.6,49.8,42.9,41.4
65,Joao Fonseca,10,50.0,62.1,62.8,3.3,3.1,8.3,63.0,66.1,55.2,60.2,75.9,6.5,39.6,39.5,3.2,2.3,32.9,55.9,6.5,79.0,85.6,42.3,78,0.67,3.3,7.8,1.38,3.3,50.9,0.49,2.4,5.7,1.17,2.8,50.8,60.0,54.2
66,Jaume Munar,23,43.5,59.6,60.9,3.6,4.5,13.3,66.2,64.8,49.4,57.0,70.6,6.5,42.4,42.2,3.0,2.6,38.4,49.4,6.7,56.0,66.2,38.2,199,0.78,3.7,8.7,1.41,3.3,59.8,0.73,3.4,8.0,1.37,3.2,50.8,50.0,48.1
67,Juncheng Shang,4,25.0,59.2,60.3,0.9,2.4,6.8,65.2,63.5,51.3,55.0,66.7,7.0,36.7,37.0,4.2,2.0,30.8,46.3,7.1,69.0,72.8,27.3,33,0.66,3.3,8.3,0.9,2.3,55.6,0.75,3.6,9.0,1.6,4.0,47.6,66.7,30.0
68,Mattia Bellucci,1,0.0,66.0,67.2,11.1,7.2,17.5,58.8,84.4,39.7,48.1,84.0,6.1,31.1,33.3,9.3,1.3,23.2,40.6,6.0,26.0,26.0,66.7,3,0.12,0.6,3.0,0.4,2.0,69.2,0.52,2.6,13.0,0.8,4.0,48.7,100.0,40.0
71,Daniel Altmaier,15,26.7,60.3,59.9,5.3,2.9,8.0,63.8,66.4,49.6,53.9,74.7,6.5,36.9,36.2,3.4,3.1,30.9,46.2,6.6,52.0,71.0,39.8,93,0.47,2.4,6.2,0.95,2.5,55.0,0.56,2.8,7.4,1.28,3.3,48.5,50.0,35.9
72,Hamad Medjedovic,9,44.4,65.5,64.4,8.8,3.2,8.9,64.3,72.3,53.2,58.4,82.4,6.3,35.8,36.9,8.9,3.3,28.5,46.4,6.8,42.0,70.6,30.2,63,0.51,2.6,7.0,0.79,2.1,65.1,0.5,2.6,7.0,0.92,2.4,50.2,50.0,45.8
74,Yoshihito Nishioka,8,50.0,59.9,60.7,1.5,2.3,6.3,63.7,63.5,53.6,57.2,75.0,6.6,34.3,35.8,9.4,3.0,26.5,45.9,6.3,73.0,119.3,46.2,39,0.43,2.0,4.9,0.9,2.3,62.9,0.67,3.1,7.8,1.15,2.9,47.6,100.0,45.0
75,Arthur Rinderknech,9,44.4,66.7,65.2,9.3,2.8,7.0,60.5,76.6,51.4,55.3,84.3,6.3,33.6,34.2,5.3,1.9,26.0,44.3,6.6,59.5,79.6,26.9,67,0.52,2.7,7.4,0.72,2.0,63.0,0.43,2.2,6.0,0.8,2.2,49.6,66.7,52.0
76,Alexander Bublik,11,45.5,59.2,60.5,9.1,8.1,20.2,59.8,69.5,43.8,54.9,71.5,6.9,34.8,34.8,5.6,3.0,30.0,43.1,5.9,53.0,55.0,50.9,55,0.43,2.0,5.0,1.04,2.5,63.7,0.78,3.8,9.3,1.37,3.4,48.0,50.0,40.7
77,Roman Safiullin,10,30.0,59.0,58.9,5.3,3.5,9.1,61.3,65.5,48.6,53.5,72.0,6.8,37.1,38.1,4.9,1.4,33.1,45.2,6.3,57.5,47.7,41.8,67,0.55,2.7,6.7,1.12,2.8,62.4,0.74,3.7,9.3,1.4,3.5,48.6,40.0,40.0
78,Hugo Gaston,13,53.8,60.4,60.5,3.1,2.3,5.0,55.0,65.7,53.9,56.8,71.8,6.7,38.8,39.2,6.5,3.5,33.0,49.3,6.7,71.0,60.5,39.6,111,0.62,3.1,8.5,1.22,3.4,58.7,0.68,3.4,9.3,1.39,3.8,49.6,87.5,52.8
79,Aleksandar Vukic,11,36.4,60.6,58.3,8.5,2.1,5.0,58.9,70.8,46.1,48.5,72.4,6.9,35.0,36.3,9.0,3.1,26.4,50.0,6.5,60.0,65.5,36.4,55,0.43,2.0,5.0,0.74,1.8,61.1,0.71,3.3,8.2,1.3,3.2,48.1,100.0,40.7
80,Aleksandar Kovacevic,6,16.7,65.5,64.0,9.0,2.7,6.6,58.9,76.9,49.2,52.7,83.7,6.4,31.6,31.9,8.2,3.4,24.7,43.9,6.3,84.5,80.2,29.7,37,0.39,2.1,6.2,0.61,1.8,63.4,0.45,2.3,6.8,0.83,2.5,48.5,20.0,33.3
