Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
30,Matteo Berrettini,8,100.0,72.5,14.7,1.1,3.7,70.5,78.7,57.8,60.0,93.3,37.7,4.4,3.1,30.2,51.4,22.7,47.6,42,0.48,2.5,5.3,1.18,2.5,66.7,0.2,1.1,2.3,0.35,0.8,54.4,100.0,94.1,58.2
31,Hubert Hurkacz,12,100.0,71.5,15.7,2.0,5.8,65.0,79.8,56.1,59.5,92.9,33.4,7.6,1.9,26.3,46.0,14.9,41.3,63,0.36,1.9,5.3,0.76,2.2,79.7,0.35,1.9,5.3,0.38,1.1,52.7,75.0,76.5,54.7
32,Alex Michelsen,19,52.6,64.8,6.1,2.8,8.6,67.5,69.3,55.4,60.6,82.6,36.1,10.3,3.1,29.5,47.4,20.6,41.1,107,0.5,2.4,5.6,1.0,2.3,65.8,0.51,2.5,5.8,0.86,2.0,50.7,50.0,50.0,52.0
33,Sebastian Baez,16,37.5,59.0,2.2,2.7,10.6,74.5,61.9,50.7,56.7,69.9,35.9,8.0,3.4,28.4,48.6,19.3,42.9,77,0.45,2.1,4.8,0.89,2.1,52.8,0.64,2.9,6.6,1.35,3.1,47.9,66.7,37.8,44.2
34,Flavio Cobolli,20,60.0,62.4,6.6,3.9,8.5,54.6,71.7,51.1,55.9,77.6,35.9,8.1,4.9,26.0,50.6,21.6,40.9,115,0.53,2.4,5.8,1.0,2.4,63.4,0.61,2.9,6.7,1.04,2.5,49.5,55.6,51.1,49.7
35,Tallon Griekspoor,18,38.9,65.2,9.5,3.8,10.4,63.8,73.1,51.1,57.0,81.9,31.0,10.0,3.2,23.2,46.3,10.9,29.5,88,0.37,1.8,4.9,0.52,1.4,64.2,0.5,2.4,6.7,0.86,2.4,48.4,38.5,40.0,46.4
36,Giovanni Mpetshi Perricard,10,60.0,73.2,24.1,6.3,18.3,65.5,82.2,56.0,68.6,93.7,28.1,8.0,2.9,21.7,41.2,7.9,35.7,28,0.22,1.2,2.8,0.42,1.0,63.6,0.17,0.9,2.2,0.33,0.8,50.6,60.0,58.3,51.0
37,Matteo Arnaldi,17,52.9,61.7,9.1,4.3,10.3,57.9,69.8,50.5,56.3,76.2,36.9,5.1,2.5,31.0,46.1,21.9,41.2,119,0.53,2.6,7.0,1.09,2.9,54.6,0.52,2.6,7.0,1.2,3.2,49.3,60.0,51.1,49.2
38,Jiri Lehecka,12,66.7,67.4,11.7,3.9,10.2,61.9,77.0,51.8,57.7,86.2,34.4,7.2,3.5,27.7,45.2,17.7,34.7,72,0.51,2.6,6.0,0.89,2.1,69.8,0.46,2.3,5.3,0.68,1.6,50.9,80.0,60.7,51.6
39,Alexandre Muller,14,42.9,61.4,4.6,2.8,7.9,65.0,68.3,48.4,52.5,74.0,37.9,10.0,4.3,27.4,52.5,22.1,33.3,102,0.66,3.4,7.3,1.13,2.4,58.3,0.62,3.2,6.9,1.33,2.9,49.3,50.0,43.3,48.1
